date,O/N,1M,3M,6M
2022-04-12,4.162,3.40466,2.56353,1.71163
2022-04-13,4.141,3.42799,2.59129,1.73407
2022-04-14,4.194,3.47498,2.6183,1.75662
2022-04-15,4.192,3.5104,2.63591,1.77942
2022-04-19,4.11,3.62933,2.75503,1.86845
2022-04-20,4.295,3.64429,2.7809,1.8904
2022-04-21,4.198,3.7032,2.80947,1.91341
2022-04-22,4.101,3.7351,2.82504,1.93585
2022-04-25,4.105,3.82152,2.91455,2.00226
2022-04-26,4.117,3.83079,2.93989,2.02446
2022-04-27,4.367,3.83989,2.96389,2.04675
2022-04-28,4.269,3.9372,2.99127,2.07041
2022-04-29,4.031,3.97727,3.00566,2.0935
2022-05-02,4.419,4.0561,3.11205,2.17044
2022-05-04,4.491,4.14626,3.16644,2.21823
2022-05-05,4.464,4.18161,3.18154,2.23876
2022-05-06,4.867,4.21462,3.19602,2.25126
2022-05-09,4.837,4.29023,3.32814,2.32647
2022-05-10,4.859,4.30787,3.35938,2.34904
2022-05-11,4.842,4.3234,3.38983,2.36314
2022-05-12,4.819,4.34234,3.40641,2.39439
2022-05-13,4.868,4.36431,3.42237,2.40802
2022-05-16,4.855,4.42642,3.54159,2.48468
2022-05-17,4.85,4.44038,3.5709,2.50715
2022-05-18,4.903,4.45337,3.5992,2.52978
2022-05-19,4.865,4.50179,3.61416,2.55252
2022-05-20,4.901,4.52705,3.62838,2.56557
2022-05-23,4.871,4.58202,3.75086,2.6432
2022-05-24,4.924,4.59164,3.78199,2.66559
2022-05-25,5.077,4.65088,3.81127,2.68823
2022-05-26,5.138,4.6834,3.82586,2.7119
2022-05-27,4.864,4.71756,3.84081,2.72561
2022-05-30,4.936,4.75819,3.92137,2.80351
2022-05-31,5.221,4.76437,3.93293,2.81561
2022-06-01,5.367,4.85205,3.96637,2.83912
2022-06-02,5.125,4.86935,3.99748,2.8617
2022-06-03,5.25,4.878,4.02529,2.8834
2022-06-06,5.122,4.96912,4.08124,2.95377
2022-06-07,5.036,4.97457,4.1475,2.9778
2022-06-08,5.086,4.9771,4.17637,3.00139
2022-06-09,5.611,4.99001,4.20533,3.02539
2022-06-10,5.621,5.01508,4.2327,3.04962
2022-06-13,5.614,5.09089,4.29078,3.12152
2022-06-14,5.626,5.10799,4.34109,3.14573
2022-06-15,5.823,5.12445,4.36885,3.17008
2022-06-17,5.54,5.20194,4.42719,3.22096
2022-06-20,5.42,5.26671,4.47804,3.29219
2022-06-21,5.613,5.27226,4.5279,3.31532
2022-06-22,5.613,5.28337,4.55429,3.33936
2022-06-23,5.575,5.32973,4.58042,3.36346
2022-06-24,5.644,5.35254,4.60662,3.38728
2022-06-27,5.699,5.41055,4.65634,3.45992
2022-06-28,5.621,5.42038,4.7211,3.48485
2022-06-29,6.067,5.42727,4.74958,3.50905
2022-06-30,6.282,5.50117,4.78285,3.53561
2022-07-01,6.241,5.55479,4.83172,3.60603
2022-07-04,6.226,5.64223,4.92665,3.66408
2022-07-05,6.256,5.6614,4.9577,3.69243
2022-07-06,6.3,5.72093,4.98862,3.70714
2022-07-07,6.527,5.76038,5.01727,3.74263
2022-07-08,6.406,5.81031,5.04161,3.75859
